Mês;Ano;Instalação Portuária;Nome do Berço;Terminal;Mercadoria-Capítulo (SH2);Quantidade de Conteiner (u);Quantidade TEU;Somatório Peso Bruto Conteiner (t);Somatório Carga Geral Solta (t);Somatório Granel Sólido (t);Somatório Granel Líquido (t);Somatório de Carga Bruta (t)
4;2018;Suape;Pier de Granéis Líquidos 1 - Berço Leste;Píer de Graneis Líquidos 1;Bebidas, líquidos alcoólicos e vinagres;0;0;0;0;0;34.176,00;34.176,00
4;2018;Suape;Pier de Granéis Líquidos 1 - Berço Leste;Píer de Graneis Líquidos 1;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;52.055,00;52.055,00
4;2018;Suape;Pier de Granéis Líquidos 1 - Berço Leste;Píer de Graneis Líquidos 1;Produtos químicos orgânicos;0;0;0;0;0;21.932,00;21.932,00
4;2018;Suape;Pier de Granéis Líquidos 1 - Berço Oeste;Píer de Graneis Líquidos 1;Bebidas, líquidos alcoólicos e vinagres;0;0;0;0;0;49.337,00;49.337,00
4;2018;Suape;Pier de Granéis Líquidos 1 - Berço Oeste;Píer de Graneis Líquidos 1;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;19.267,00;19.267,00
4;2018;Suape;Pier de Granéis Líquidos 1 - Berço Oeste;Píer de Graneis Líquidos 1;Produtos químicos orgânicos;0;0;0;0;0;32.130,00;32.130,00
4;2018;Suape;Pier de Granéis Líquidos 2 - Berço Leste;Píer de Graneis Líquidos 2;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;255.421,00;255.421,00
4;2018;Suape;Pier de Granéis Líquidos 2 - Berço Oeste;Píer de Graneis Líquidos 2;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;288.069,00;288.069,00
4;2018;Suape;Pier de Granéis Líquidos 3 - A;Píer de Graneis Líquidos 3A;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;489.982,00;489.982,00
4;2018;Suape;Pier de Granéis Líquidos 3 - B;Píer de Graneis Líquidos 3B;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;281.575,30;281.575,30
4;2018;Suape;Porto Interno - Berço 01;Cais 1;Contêineres;479;818;6.789,00;0;0;0;6.789,00
4;2018;Suape;Porto Interno - Berço 02 - TECON;Tecon Suape;Contêineres;14.376,00;23.783,00;249.943,00;0;0;0;249.943,00
4;2018;Suape;Porto Interno - Berço 03 - TECON;Tecon Suape;Contêineres;5.519,00;9.638,00;107.887,00;0;0;0;107.887,00
4;2018;Suape;Porto Interno - Berço 04;Cais 4;Cereais;0;0;0;0;44.000,00;0;44.000,00
4;2018;Suape;Porto Interno - Berço 04;Cais 4;Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes;0;0;0;109;0;0;109
4;2018;Suape;Porto Interno - Berço 04;Cais 4;Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios;0;0;0;3.583,00;0;0;3.583,00
4;2018;Suape;Porto Interno - Berço 05;Cais 5;Obras de ferro fundido, ferro ou aço;0;0;0;203;0;0;203
4;2018;Suape;Porto Interno - Berço 05;Cais 5;Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios;0;0;0;2.955,00;0;0;2.955,00
5;2018;Suape;Cais de Múltiplos Usos - Berço - Leste;Cais de Múltiplos Usos - CMU;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;6.339,00;6.339,00
5;2018;Suape;Pier de Granéis Líquidos 1 - Berço Leste;Píer de Graneis Líquidos 1;Bebidas, líquidos alcoólicos e vinagres;0;0;0;0;0;34.118,00;34.118,00
5;2018;Suape;Pier de Granéis Líquidos 1 - Berço Leste;Píer de Graneis Líquidos 1;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;65.475,00;65.475,00
5;2018;Suape;Pier de Granéis Líquidos 1 - Berço Leste;Píer de Graneis Líquidos 1;Produtos químicos orgânicos;0;0;0;0;0;11.941,00;11.941,00
5;2018;Suape;Pier de Granéis Líquidos 1 - Berço Oeste;Píer de Graneis Líquidos 1;Bebidas, líquidos alcoólicos e vinagres;0;0;0;0;0;44.057,00;44.057,00
5;2018;Suape;Pier de Granéis Líquidos 1 - Berço Oeste;Píer de Graneis Líquidos 1;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;13.416,00;13.416,00
5;2018;Suape;Pier de Granéis Líquidos 1 - Berço Oeste;Píer de Graneis Líquidos 1;Produtos químicos orgânicos;0;0;0;0;0;21.497,00;21.497,00
5;2018;Suape;Pier de Granéis Líquidos 2 - Berço Leste;Píer de Graneis Líquidos 2;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;143.993,00;143.993,00
5;2018;Suape;Pier de Granéis Líquidos 2 - Berço Oeste;Píer de Graneis Líquidos 2;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;218.553,00;218.553,00
5;2018;Suape;Pier de Granéis Líquidos 3 - A;Píer de Graneis Líquidos 3A;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;466.375,00;466.375,00
5;2018;Suape;Pier de Granéis Líquidos 3 - B;Píer de Graneis Líquidos 3B;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;391.785,00;391.785,00
5;2018;Suape;Porto Interno - Berço 01;Cais 1;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;250;250
5;2018;Suape;Porto Interno - Berço 02 - TECON;Tecon Suape;Contêineres;13.614,00;23.026,00;219.508,00;0;0;0;219.508,00
5;2018;Suape;Porto Interno - Berço 03 - TECON;Tecon Suape;Contêineres;8.950,00;15.507,00;165.509,00;0;0;0;165.509,00
5;2018;Suape;Porto Interno - Berço 04;Cais 4;Cereais;0;0;0;0;26.250,00;0;26.250,00
5;2018;Suape;Porto Interno - Berço 04;Cais 4;Obras de ferro fundido, ferro ou aço;0;0;0;3.816,00;0;0;3.816,00
5;2018;Suape;Porto Interno - Berço 04;Cais 4;Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios;0;0;0;5.308,00;0;0;5.308,00
5;2018;Suape;Porto Interno - Berço 05;Cais 5;"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios";0;0;0;266;0;0;266
5;2018;Suape;Porto Interno - Berço 05;Cais 5;Obras de ferro fundido, ferro ou aço;0;0;0;11.863,00;0;0;11.863,00
5;2018;Suape;Porto Interno - Berço 05;Cais 5;Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes;0;0;0;48;0;0;48
5;2018;Suape;Porto Interno - Berço 05;Cais 5;Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios;0;0;0;3.258,00;0;0;3.258,00
6;2018;Suape;Pier de Granéis Líquidos 1 - Berço Leste;Píer de Graneis Líquidos 1;Bebidas, líquidos alcoólicos e vinagres;0;0;0;0;0;14.929,00;14.929,00
6;2018;Suape;Pier de Granéis Líquidos 1 - Berço Leste;Píer de Graneis Líquidos 1;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;9.491,00;9.491,00
6;2018;Suape;Pier de Granéis Líquidos 1 - Berço Leste;Píer de Graneis Líquidos 1;Produtos químicos orgânicos;0;0;0;0;0;21.492,00;21.492,00
6;2018;Suape;Pier de Granéis Líquidos 1 - Berço Oeste;Píer de Graneis Líquidos 1;Bebidas, líquidos alcoólicos e vinagres;0;0;0;0;0;11.962,00;11.962,00
6;2018;Suape;Pier de Granéis Líquidos 1 - Berço Oeste;Píer de Graneis Líquidos 1;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;44.079,00;44.079,00
6;2018;Suape;Pier de Granéis Líquidos 1 - Berço Oeste;Píer de Graneis Líquidos 1;Produtos químicos orgânicos;0;0;0;0;0;32.140,00;32.140,00
6;2018;Suape;Pier de Granéis Líquidos 2 - Berço Leste;Píer de Graneis Líquidos 2;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;205.817,00;205.817,00
6;2018;Suape;Pier de Granéis Líquidos 2 - Berço Oeste;Píer de Graneis Líquidos 2;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;392.447,00;392.447,00
6;2018;Suape;Pier de Granéis Líquidos 3 - A;Píer de Graneis Líquidos 3A;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;625.751,00;625.751,00
6;2018;Suape;Pier de Granéis Líquidos 3 - B;Píer de Graneis Líquidos 3B;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;251.280,00;251.280,00
6;2018;Suape;Porto Interno - Berço 01;Cais 1;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;12;0;0;12
6;2018;Suape;Porto Interno - Berço 01;Cais 1;Contêineres;409;703;4.949,00;0;0;0;4.949,00
6;2018;Suape;Porto Interno - Berço 02 - TECON;Tecon Suape;Contêineres;12.744,00;20.777,00;232.978,00;0;0;0;232.978,00
6;2018;Suape;Porto Interno - Berço 03 - TECON;Tecon Suape;Contêineres;8.600,00;14.783,00;188.981,00;0;0;0;188.981,00
6;2018;Suape;Porto Interno - Berço 04;Cais 4;Cereais;0;0;0;0;26.250,00;0;26.250,00
6;2018;Suape;Porto Interno - Berço 04;Cais 4;Obras de ferro fundido, ferro ou aço;0;0;0;18.023,00;0;0;18.023,00
6;2018;Suape;Porto Interno - Berço 04;Cais 4;Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios;0;0;0;8.844,00;0;0;8.844,00
6;2018;Suape;Porto Interno - Berço 05;Cais 5;Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios;0;0;0;2.112,00;0;0;2.112,00
1;2018;Suape;Cais de Múltiplos Usos - Berço - Leste;Cais de Múltiplos Usos - CMU;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;12.188,00;12.188,00
1;2018;Suape;Cais de Múltiplos Usos - Berço - Leste;Cais de Múltiplos Usos - CMU;"Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal";0;0;0;0;0;7.000,00;7.000,00
1;2018;Suape;Pier de Granéis Líquidos 1 - Berço Leste;Píer de Graneis Líquidos 1;Bebidas, líquidos alcoólicos e vinagres;0;0;0;0;0;13.374,00;13.374,00
1;2018;Suape;Pier de Granéis Líquidos 1 - Berço Leste;Píer de Graneis Líquidos 1;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;94.659,00;94.659,00
1;2018;Suape;Pier de Granéis Líquidos 1 - Berço Leste;Píer de Graneis Líquidos 1;Produtos químicos orgânicos;0;0;0;0;0;13.691,00;13.691,00
1;2018;Suape;Pier de Granéis Líquidos 1 - Berço Oeste;Píer de Graneis Líquidos 1;Bebidas, líquidos alcoólicos e vinagres;0;0;0;0;0;3.942,00;3.942,00
1;2018;Suape;Pier de Granéis Líquidos 1 - Berço Oeste;Píer de Graneis Líquidos 1;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;58.621,00;58.621,00
1;2018;Suape;Pier de Granéis Líquidos 1 - Berço Oeste;Píer de Graneis Líquidos 1;Produtos químicos orgânicos;0;0;0;0;0;40.623,00;40.623,00
1;2018;Suape;Pier de Granéis Líquidos 2 - Berço Leste;Píer de Graneis Líquidos 2;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;175.134,00;175.134,00
1;2018;Suape;Pier de Granéis Líquidos 2 - Berço Oeste;Píer de Graneis Líquidos 2;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;317.234,00;317.234,00
1;2018;Suape;Pier de Granéis Líquidos 3 - A;Píer de Graneis Líquidos 3A;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;310.383,00;310.383,00
1;2018;Suape;Pier de Granéis Líquidos 3 - B;Píer de Graneis Líquidos 3B;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;107.847,00;107.847,00
1;2018;Suape;Porto Interno - Berço 02 - TECON;Tecon Suape;Contêineres;15.366,00;25.108,00;263.886,00;0;0;0;263.886,00
1;2018;Suape;Porto Interno - Berço 03 - TECON;Tecon Suape;Contêineres;6.062,00;10.442,00;104.118,00;0;0;0;104.118,00
1;2018;Suape;Porto Interno - Berço 04;Cais 4;Cereais;0;0;0;0;43.140,00;0;43.140,00
1;2018;Suape;Porto Interno - Berço 04;Cais 4;Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios;0;0;0;3.155,00;0;0;3.155,00
1;2018;Suape;Porto Interno - Berço 05;Cais 5;Obras de ferro fundido, ferro ou aço;0;0;0;9.776,00;0;0;9.776,00
1;2018;Suape;Porto Interno - Berço 05;Cais 5;Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios;0;0;0;2.235,00;0;0;2.235,00
7;2018;Suape;Cais de Múltiplos Usos - Berço - Leste;Cais de Múltiplos Usos - CMU;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;5.000,00;5.000,00
7;2018;Suape;Pier de Granéis Líquidos 1 - Berço Leste;Píer de Graneis Líquidos 1;Bebidas, líquidos alcoólicos e vinagres;0;0;0;0;0;48.406,00;48.406,00
7;2018;Suape;Pier de Granéis Líquidos 1 - Berço Leste;Píer de Graneis Líquidos 1;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;74.574,00;74.574,00
7;2018;Suape;Pier de Granéis Líquidos 1 - Berço Leste;Píer de Graneis Líquidos 1;Produtos químicos orgânicos;0;0;0;0;0;10.012,00;10.012,00
7;2018;Suape;Pier de Granéis Líquidos 1 - Berço Oeste;Píer de Graneis Líquidos 1;Bebidas, líquidos alcoólicos e vinagres;0;0;0;0;0;19.587,00;19.587,00
7;2018;Suape;Pier de Granéis Líquidos 1 - Berço Oeste;Píer de Graneis Líquidos 1;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;15.582,00;15.582,00
